,id,x,y,endX,endY,teamId,playerId,eventType,outcomeType,minute
252,2610526031.0,53.0,33.0,55.9,41.4,32,99487.0,Pass,Successful,14
253,2610526095.0,60.5,35.8,71.9,34.7,32,69344.0,Pass,Successful,14
257,2610526301.0,68.3,6.7,49.1,16.3,32,353418.0,Pass,Successful,14
258,2610526445.0,57.0,19.2,69.8,5.0,32,99487.0,Pass,Successful,14
259,2610526551.0,78.0,9.0,74.7,11.6,32,353418.0,Pass,Successful,14
260,2610526591.0,68.2,30.4,56.3,55.4,32,123761.0,Pass,Successful,14
261,2610526763.0,54.4,52.1,44.2,13.7,32,22079.0,Pass,Successful,14
262,2610526827.0,35.9,56.3,34.5,75.5,32,99487.0,Pass,Successful,14
263,2610526879.0,35.0,77.6,40.3,93.3,32,22079.0,Pass,Successful,14
264,2610526891.0,40.3,93.3,56.2,80.8,32,100008.0,Pass,Unsuccessful,14
265,2610526897.0,46.6,27.0,56.8,30.4,167,303139.0,Pass,Unsuccessful,14
266,2610526937.0,39.5,77.2,56.9,77.9,32,99487.0,Pass,Unsuccessful,14
267,2610526955.0,46.8,27.5,49.1,16.4,167,303139.0,Pass,Successful,14
269,2610527003.0,49.1,16.4,77.6,52.5,167,331254.0,Pass,Unsuccessful,14
272,2610527155.0,21.7,56.2,76.3,0.0,32,260843.0,Pass,Unsuccessful,14
273,2610527451.0,28.7,100.0,15.3,92.5,167,402664.0,Pass,Successful,15
274,2610527513.0,14.0,93.7,6.1,67.6,167,101374.0,Pass,Successful,15
275,2610527681.0,6.6,66.5,30.2,7.3,167,121774.0,Pass,Successful,15
276,2610527751.0,57.2,23.3,69.5,16.1,167,69778.0,Pass,Successful,15
277,2610527881.0,70.8,20.8,76.0,11.2,167,331254.0,Pass,Successful,15
278,2610527911.0,80.1,15.9,80.7,27.0,167,365409.0,Pass,Successful,15
279,2610527941.0,80.7,27.0,73.3,36.8,167,331254.0,Pass,Successful,15
280,2610528003.0,73.3,36.8,71.4,59.5,167,303139.0,Pass,Successful,15
281,2610528067.0,74.4,55.9,81.7,75.8,167,101374.0,Pass,Successful,15
282,2610528147.0,83.2,75.0,97.5,72.3,167,113069.0,Pass,Successful,15
283,2610528173.0,97.5,73.5,91.8,45.9,167,136741.0,Pass,Unsuccessful,15
286,2610528915.0,4.9,60.6,3.0,43.5,32,22079.0,Pass,Successful,16
287,2610529053.0,7.6,46.1,13.7,89.7,32,260843.0,Pass,Successful,16
288,2610529291.0,13.7,80.8,7.1,50.5,32,100008.0,Pass,Successful,16
289,2610529329.0,18.4,31.7,52.9,46.4,32,260843.0,Pass,Unsuccessful,16
290,2610529359.0,47.9,47.0,68.6,50.0,167,303139.0,Pass,Successful,16
294,2610530141.0,64.8,47.5,69.0,63.5,167,303139.0,Pass,Successful,17
295,2610530175.0,70.6,67.2,73.3,78.4,167,136741.0,Pass,Successful,17
296,2610530245.0,73.3,79.9,84.5,95.6,167,402664.0,Pass,Successful,17
297,2610530255.0,87.2,85.6,77.1,80.6,167,113069.0,Pass,Successful,17
298,2610530273.0,77.1,80.6,79.9,91.5,167,136741.0,Pass,Successful,17
299,2610530335.0,79.9,91.5,95.1,83.1,167,113069.0,Pass,Successful,17
300,2610530361.0,95.1,83.1,92.7,55.6,167,136741.0,Pass,Unsuccessful,17
302,2610530475.0,24.3,26.5,30.7,6.4,32,439584.0,Pass,Unsuccessful,17
303,2610530611.0,68.7,91.4,47.1,61.6,167,113069.0,Pass,Successful,17
304,2610530649.0,44.8,41.4,55.0,16.7,167,313171.0,Pass,Successful,17
305,2610530743.0,54.7,17.9,46.6,34.3,167,69778.0,Pass,Successful,17
306,2610530769.0,55.2,27.0,54.9,7.5,167,313171.0,Pass,Successful,17
307,2610530971.0,54.9,7.5,45.0,35.6,167,69778.0,Pass,Successful,17
308,2610530999.0,36.7,55.7,34.2,66.4,167,303139.0,Pass,Successful,17
309,2610531107.0,35.8,68.1,45.8,94.4,167,402664.0,Pass,Successful,17
310,2610531141.0,47.2,91.4,43.9,80.9,167,136741.0,Pass,Successful,17
311,2610531239.0,44.9,83.9,42.0,93.4,167,402664.0,Pass,Successful,18
312,2610531369.0,41.8,81.2,37.0,51.2,167,136741.0,Pass,Successful,18
313,2610531465.0,37.3,42.9,41.8,74.0,167,313171.0,Pass,Successful,18
314,2610531507.0,64.4,83.4,69.1,94.7,167,402664.0,Pass,Unsuccessful,18
316,2610531597.0,66.2,100.0,55.2,92.2,167,113069.0,Pass,Successful,18
317,2610531661.0,53.6,87.1,46.4,65.0,167,402664.0,Pass,Successful,18
318,2610531757.0,52.8,58.6,53.4,81.9,167,313171.0,Pass,Successful,18
319,2610531813.0,60.3,81.2,66.7,96.3,167,402664.0,Pass,Successful,18
320,2610531837.0,75.3,89.5,75.5,81.7,167,113069.0,Pass,Successful,18
321,2610531845.0,75.5,81.7,80.4,87.0,167,365409.0,Pass,Unsuccessful,18
322,2610531863.0,23.5,20.0,0.0,36.5,32,353418.0,Pass,Unsuccessful,18
325,2610532551.0,99.7,99.5,96.3,75.6,167,365409.0,Pass,Successful,19
326,2610532653.0,95.8,75.2,90.8,82.8,167,101374.0,Pass,Successful,19
331,2610533271.0,99.5,0.5,92.5,60.5,167,365409.0,Pass,Unsuccessful,19
336,2610533353.0,78.8,73.3,61.5,47.0,167,113069.0,Pass,Successful,20
337,2610533407.0,61.5,47.0,66.2,21.0,167,69778.0,Pass,Successful,20
338,2610533471.0,69.8,20.3,85.5,32.9,167,365409.0,Pass,Unsuccessful,20
341,2610534859.0,30.1,77.6,37.7,81.3,32,69344.0,Pass,Unsuccessful,20
343,2610533535.0,60.2,25.2,55.0,34.5,167,365409.0,Pass,Successful,20
344,2610533631.0,55.2,32.4,58.1,20.5,167,69778.0,Pass,Successful,20
345,2610533697.0,66.3,15.2,100.0,30.4,167,365409.0,Pass,Unsuccessful,20
346,2610534075.0,5.1,60.4,6.9,47.9,32,22079.0,Pass,Successful,20
347,2610534265.0,7.7,48.4,16.4,87.5,32,260843.0,Pass,Successful,20
348,2610534287.0,13.1,83.7,26.8,58.9,32,100008.0,Pass,Successful,20
349,2610534315.0,27.0,59.1,44.5,53.3,32,69344.0,Pass,Unsuccessful,20
351,2610534375.0,31.5,69.1,33.8,66.7,32,100008.0,Pass,Successful,20
353,2610534407.0,68.1,30.8,69.3,17.6,167,315227.0,Pass,Successful,20
357,2610535175.0,65.4,17.2,92.9,53.2,167,365409.0,Pass,Unsuccessful,21
363,2610539235.0,50.1,49.9,48.1,49.7,32,439584.0,Pass,Successful,26
